Ratings,Value Counts
7.86802325581395,615
7.317199999999997,565
7.881052631578948,531
7.410576923076919,427
7.445714285714286,425
7.437244897959178,375
7.921428571428573,366
7.803225806451613,313
7.3209677419354815,231
6.9295454545454565,186
7.602941176470588,150
7.30416666666667,136
7.628571428571428,124
7.8769230769230765,117
7.343333333333335,108
6.803703703703706,105
7.8096774193548395,100
7.804166666666664,98
7.321428571428571,98
7.2,95
7.98125,94
7.754166666666666,91
7.536842105263158,91
6.2727272727272725,86
7.3180000000000005,86
7.200000000000001,82
7.17878787878788,81
7.985294117647061,77
6.641666666666667,76
7.95,74
6.95,72
7.309999999999998,72
7.066666666666666,70
7.1031249999999995,68
7.7555555555555555,65
7.622222222222224,65
8.157142857142857,64
7.530952380952381,64
7.595652173913043,62
7.626666666666667,61
6.7,59
7.233333333333334,58
7.612500000000001,58
7.905882352941177,57
7.9,55
7.712903225806454,55
7.2,52
6.2,52
7.85,51
7.840000000000001,50
7.203333333333333,49
7.290000000000002,49
7.95,47
6.037499999999999,45
7.411538461538461,44
5.566666666666666,44
7.25,44
7.4799999999999995,43
7.533333333333334,43
6.85,43
7.910000000000001,43
7.412499999999999,42
8.233333333333334,41
7.550000000000001,40
8.8,40
8.025,39
7.8199999999999985,39
7.596875000000001,39
6.961538461538463,39
7.6,38
8.1,38
7.8999999999999995,38
7.3,37
7.966666666666669,36
6.9,36
7.944444444444445,35
7.316666666666666,34
8.133333333333333,34
8.7,34
6.675,33
7.5928571428571425,33
5.066666666666667,33
8.275,32
7.0,32
4.74,32
7.2,32
7.933333333333334,30
7.886363636363637,30
7.67,27
7.7,27
7.866666666666667,26
4.8,26
7.81,26
7.755000000000001,25
6.779999999999999,25
7.1800000000000015,25
7.5,24
9.0,24
7.533333333333334,23
7.566666666666666,23
7.75,23
7.7,22
8.4,22
7.1000000000000005,22
8.133333333333335,21
7.68,21
6.0,21
7.1800000000000015,20
7.6000000000000005,20
8.3,20
6.755555555555556,19
9.2,19
7.38,18
8.25,18
8.5,18
7.0,18
6.85,17
7.029999999999999,17
7.4,16
5.7,16
6.65,16
7.5,15
7.566666666666666,15
7.8,15
5.35,14
8.242857142857144,14
7.6,13
8.8,13
7.866666666666667,13
7.779999999999999,13
7.633333333333333,13
7.219999999999999,13
7.9799999999999995,13
8.0,13
8.15,12
8.0,12
7.4375,12
7.35,12
8.2,12
7.275,11
7.88,11
7.0,11
7.925,11
8.1,11
7.4,10
7.8,10
8.2,10
7.6499999999999995,10
6.9,10
7.779999999999999,10
8.15,10
6.3,10
6.0,9
6.15,8
7.0,8
8.0,8
7.65,7
5.55,7
7.0,7
5.9,7
6.7,7
8.0,7
7.7,6
8.5,6
7.2,6
7.94,6
6.8,6
7.7,6
3.0,6
8.1,6
5.45,5
7.1,5
6.8,5
7.1,5
7.3,5
9.8,5
7.4,5
8.2,4
8.45,4
6.85,4
8.2,4
5.2,4
8.3,4
8.0,4
7.5,4
7.133333333333333,4
7.8,4
8.0,3
8.1,3
5.7,3
6.8,3
8.0,3
8.5,3
6.0,3
7.75,2
6.4,2
7.8,2
8.2,2
7.0,2
8.1,2
7.4,2
7.300000000000001,2
8.8,2
7.5,2
8.3,2
7.0,2
8.8,1
7.8,1
8.4,1
7.9,1
9.2,1
7.6,1
6.7,1
7.3,1
6.8,1
8.3,1
9.5,1
8.3,1
8.0,1
